succumb,yield, die"
appease,make quiet or calm
auxiliary,helping; supporting
gullible,easily gulled
treacherous,not to be trusted, perfidious"
foster,nurture; care for
scent,smell (especially pleasant)
affable,polite and friendly
strive,to make great efforts, to struggle"
nihilism,total rejection of all religious and moral beliefs
introvert,one who turns towards himself
braggart,boastful
judicious,sound in judgment; wise
dormant,in a state of inactivity but awaiting development
renowned,celebrated; famous
luminary,star; light-giving body
curriculum,course of study
concur,agree in opinion happen together
shard,A piece of broken pottery
surcharge,additional load/charge
sponge,porous rubber for washing live at once expense
clot,half-solid lump formed from liquid
abysmal,extreme bad
adorn,add beauty; decorate
complaisant,trying to please; obliging
yarn,tale story fibers for knitting
pertain,belong as a part have reference
conjoin,to join together
volatile,changeable inconstant fickle unstable explosive
alloy,to debase by mixing with something inferior
reconcile,settle a quarrel restore peace
divergence,getting farther apart from a point
enzyme,catalyst
offhand,Without preparation or forethought
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
indistinct,not easily heard; seen clearly marked
elaborate,worked out with much care in great detail
paradigm,a model example or pattern
sobriety,quality or condition of being sober
cumbersome,burdensome; heavy and awkward to carry
introspection,examining one's own thoughts and feelings
connote,Suggest or imply in addition to the precise, literal meaning"
sanity,health of mind soundness of judgment
permeate,spread into every part of
commuter,person who travels regularly
edible,fit to be eaten/not poisonous
sheath,cover for the blade of a weapon or a tool
engulf,swallow up
fragile,easily injured broken or destroyed
shallow,little depth; not earnest
lampoon,publicly mock or ridicule
presentiment,anticipatory fear; premonition
grievous,causing grief or pain; serious dire grave
apartheid,brutal racial discrimination
weigh,measure how heavy something is
benefactor,person who has given help
perjury,willful FALSE statement unlawful act
negligent,taking too little care
grumble,to complain
mesmerize,hypnotize
torque,twisting force causing rotation
abstruse,difficult to comprehend; obscure
derivative,unoriginal; obtained from another source
misanthrope,person who hates mankind
hypocrisy,falsely making oneself appear to be good
bogus,sham; counterfeit; not genuine
perish,be destroyed decay
disproof,proof to the contrary
coagulation,change to a thick and solid state
edify,instruct; correct morally
abscond,to go away suddenly (to avoid arrest)
somersault,rolling backward or forward (not sideways) movement
affinity,close connection; relationship
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
allegiance,duty support loyalty
superimpose,put something on the top
acumen,Keen, quick, accurate insight or judgment"
moderation,quality of being limited; not extreme
gerontocracy,government ruled by old people
aggravate,make worse; irritate
scribble,write hastily
colloquial,involving or using conversation.
repel,refuse to accept/cause dislike
abhor,to hate; to detest
odor,smell
inclined,directing the mind in a certain direction
eulogy,formal praise panegyric
precursors,a person or thing that precedes, as in a process or job."
recuperate,become strong after illness loss exhaustion
fidelity,loyalty accuracy
ail,to cause pain, uneasiness, or trouble to."
repulsive,causing a feeling of disgust
adulteration,making unpure; poorer in quality
dullard,a stupid, insensitive person"
patron,regular customer person who gives support
impermeable,that cannot be permeated
pest,destructive thing or a person who is nuisance
heterogeneous,made up of different kinds
entice,attract, lure"
malevolent,malicious; evil; having or showing ill will
submerge,put under water liquid sink out of sight
amalgamate,mix; combine; unite societies
drowsiness,feeling sleepy half asleep
